Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
01/07/2008,Adelaide,8.8,15.7,5,1.6,2.6,NW,48,SW,W,13,15,92,67,1017.4,1017.7,NA,NA,13.5,14.9,Yes,No
02/07/2008,Adelaide,12.7,15.8,0.8,1.4,7.8,SW,35,SSW,SW,13,15,75,52,1022.4,1022.6,NA,NA,13.7,15.5,No,No
03/07/2008,Adelaide,6.2,15.1,0,1.8,2.1,W,20,NNE,SW,2,11,81,56,1027.8,1026.5,NA,NA,9.3,13.9,No,No
04/07/2008,Adelaide,5.3,15.9,0,1.4,8,NNE,30,NNE,NE,6,13,71,46,1028.7,1025.6,NA,NA,10.2,15.3,No,No
05/07/2008,Adelaide,9.8,15.4,0,NA,0.9,N,30,NNE,NE,9,9,56,67,1023.6,1020.2,NA,NA,11.3,13.8,No,NA
06/07/2008,Adelaide,11.3,15.7,NA,NA,1.5,NNW,52,NNE,NNW,15,22,62,62,1019.5,1016.2,NA,NA,13,14.4,NA,Yes
07/07/2008,Adelaide,7.6,11.2,16.2,4.6,1.1,WSW,46,WNW,SW,17,13,83,88,1015.9,1017.9,NA,NA,9.8,9.3,Yes,Yes
08/07/2008,Adelaide,5.3,13.5,17,0.6,2.1,SW,43,SW,WSW,11,22,73,91,1025.8,1025.9,NA,NA,10.9,10.8,Yes,Yes
09/07/2008,Adelaide,8.4,14.3,1.8,1.6,0.8,NW,41,N,NW,9,19,90,64,1025.8,1022.7,NA,NA,10.8,13.5,Yes,Yes
10/07/2008,Adelaide,9.5,13.1,9,1.2,7.2,WSW,52,WSW,SW,24,20,54,66,1019.8,1019.6,NA,NA,10.9,11.2,Yes,No
11/07/2008,Adelaide,8.2,14,0.2,2.8,4.3,SW,28,ENE,NNW,9,13,70,43,1023.8,1021.2,NA,NA,10,13.5,No,NA
12/07/2008,Adelaide,8.1,15.8,NA,NA,6.1,N,48,NE,N,24,22,65,42,1014,1009.8,NA,NA,9.5,15.6,NA,NA
13/07/2008,Adelaide,9.4,16.8,NA,NA,9.1,NNW,54,N,NNW,17,28,67,47,1011.2,1009.5,NA,NA,11.7,16.5,NA,Yes
14/07/2008,Adelaide,10,15.4,3.8,7,0.5,N,48,W,W,15,19,85,72,1014,1015.4,NA,NA,13.2,15.2,Yes,Yes
15/07/2008,Adelaide,11.1,14.7,4,2.8,2.3,WSW,43,W,WSW,17,24,91,72,1020.4,1020.1,NA,NA,12,13,Yes,No
16/07/2008,Adelaide,6.3,14.1,0.2,1.6,3.8,NNW,39,NNE,N,7,19,74,52,1019.9,1015.3,NA,NA,10,13.9,No,No
17/07/2008,Adelaide,9.8,14.7,0.2,1.6,3.5,NW,44,N,NW,17,22,58,61,1009.8,1007.4,NA,NA,10.5,14.7,No,Yes
18/07/2008,Adelaide,7.4,15.3,1.4,0.8,5.9,WNW,39,NE,NW,9,19,86,58,1014.3,1012.4,NA,NA,9.3,13.7,Yes,NA
19/07/2008,Adelaide,9.3,18.1,NA,NA,2.4,NNW,52,N,ENE,19,11,44,47,1004.7,997.9,NA,NA,14.2,17.6,NA,NA
20/07/2008,Adelaide,9.9,12,NA,NA,0.3,N,46,N,ENE,26,11,67,91,1000.7,1000.4,NA,NA,10,9.6,NA,Yes
21/07/2008,Adelaide,6.5,14.2,6.8,4,3.8,SSE,41,S,S,13,15,69,55,1021.2,1024.7,NA,NA,11.9,12.8,Yes,No
22/07/2008,Adelaide,6,13.8,0,1.2,3.3,SW,20,NA,SSW,NA,13,70,61,1032.8,1031.1,NA,NA,9.7,11.8,No,No
23/07/2008,Adelaide,5.4,14.2,0,1,9.2,ENE,19,ESE,NNW,7,9,49,36,1033.9,1029.8,NA,NA,10.7,13.7,No,No
24/07/2008,Adelaide,2.6,14.9,0,1.4,7.2,NNW,28,N,NNW,9,13,58,38,1027.5,1023.4,NA,NA,8.8,14.5,No,No
25/07/2008,Adelaide,3.1,16.4,0,1.2,7.9,N,30,NNE,NNW,9,15,52,33,1022.1,1018.8,NA,NA,9.6,16.1,No,NA
26/07/2008,Adelaide,7.1,13.8,NA,NA,9.5,SW,35,N,WSW,7,20,90,57,1019.1,1017.3,NA,NA,8.8,12.6,NA,Yes
27/07/2008,Adelaide,2.8,11.8,1.6,NA,8.1,WSW,37,NE,SW,7,15,85,58,1018.1,1016.2,NA,NA,6.9,11.1,Yes,No
28/07/2008,Adelaide,0.7,14,0,4.6,7.3,W,22,N,W,7,13,82,61,1024.1,1022.4,NA,NA,6.4,12.7,No,No
29/07/2008,Adelaide,4.9,13,0,0.8,0.1,NNW,56,NE,NNE,17,19,51,45,1017.9,1010.3,NA,NA,10.5,12.5,No,Yes
30/07/2008,Adelaide,8.5,16.1,3.4,1.4,7.2,WNW,28,NE,W,11,9,89,44,1013.7,1011.7,NA,NA,11.5,15.7,Yes,No
31/07/2008,Adelaide,7.6,19.3,0.8,1.8,5,W,69,NNE,NW,17,20,56,52,1006.8,1005.2,NA,NA,14.4,18.1,No,Yes
01/08/2008,Adelaide,10.6,13.8,1.8,1.8,5.6,SW,74,W,WSW,20,26,58,57,1010.9,1014.6,NA,NA,12.2,13.5,Yes,NA
02/08/2008,Adelaide,7.6,14.3,NA,NA,2.6,NW,31,WNW,NA,11,0,95,86,1021.4,1019.8,NA,NA,10.9,11.9,NA,NA
03/08/2008,Adelaide,7.2,18.1,NA,NA,5.6,NNW,39,NNE,NNW,15,19,54,37,1017.3,1012.4,NA,NA,11.8,17.8,NA,Yes
04/08/2008,Adelaide,9,13.8,8.2,4.4,4.4,NW,31,N,S,9,6,92,92,1014.8,1015.8,NA,NA,10.1,11.7,Yes,Yes
05/08/2008,Adelaide,6.4,15,16.2,2.6,3.3,W,26,S,S,6,11,95,75,1025.5,1025.2,NA,NA,10.4,13.6,Yes,Yes
06/08/2008,Adelaide,7.4,11.9,1.2,0.4,0.5,WSW,48,N,N,17,13,90,92,1021.3,1016.8,NA,NA,10,9.5,Yes,Yes
07/08/2008,Adelaide,5.9,13.2,11.2,1.2,7,SW,43,SSW,WSW,9,17,70,52,1023.9,1024,NA,NA,9.6,11.9,Yes,No
08/08/2008,Adelaide,8.2,14.4,0.8,2,6.5,WSW,41,WNW,WSW,20,20,91,47,1022.5,1022.6,NA,NA,10.6,13.7,No,NA
09/08/2008,Adelaide,5.2,12.9,NA,NA,1.9,NW,61,N,W,11,17,94,88,1022.3,1018.9,NA,NA,7.4,9.1,NA,NA
10/08/2008,Adelaide,4.7,11.7,NA,NA,7.3,SSW,48,SSW,SW,13,24,76,63,1025.3,1025.6,NA,NA,7.7,10.7,NA,Yes
11/08/2008,Adelaide,4.4,13.8,22,5,9.3,WSW,37,N,W,9,17,87,57,1028.2,1025.9,NA,NA,7.7,13.3,Yes,No
12/08/2008,Adelaide,6.8,14,0.8,1.6,5.6,WNW,46,NNW,W,11,17,92,67,1027,1025.6,NA,NA,9.9,13.2,No,Yes
13/08/2008,Adelaide,5.3,13.9,2.2,1.6,9.2,SW,28,N,SW,7,15,97,58,1031.9,1030.8,NA,NA,7.1,12.8,Yes,No
14/08/2008,Adelaide,5.8,12.8,0,2,0.8,SW,35,N,SW,7,20,78,55,1033.5,1030.3,NA,NA,8.9,12.2,No,Yes
15/08/2008,Adelaide,8.8,13.2,1.6,1.4,5.5,WSW,43,SW,WSW,13,22,90,75,1027.2,1024,NA,NA,10.6,12.6,Yes,NA
16/08/2008,Adelaide,7.6,14.1,NA,NA,7.6,SW,33,S,SSW,6,11,90,75,1024.9,1024.7,NA,NA,10.7,13.2,NA,Yes
17/08/2008,Adelaide,6.7,14.1,6.2,NA,8.5,SW,39,SSW,SSW,4,17,89,47,1031.1,1029.6,NA,NA,9.9,13.8,Yes,No
18/08/2008,Adelaide,5.5,14.9,0,4.6,5.7,WSW,30,NA,SW,0,13,85,55,1032.5,1030.8,NA,NA,10.6,13.9,No,No
19/08/2008,Adelaide,5.5,15.7,0,0.8,2,NW,39,NNW,NW,11,19,75,42,1029.9,1026,NA,NA,10,15.1,No,No
